City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
511,cowra,-33.8333,148.6833,22.060000000000002,40,90,9.05,AU,1724984187
512,malvan,16.0667,73.4667,26.950000000000045,84,66,3.68,IN,1724984188
513,terrace,54.5163,-128.6035,17.07000000000005,80,100,1.8,CA,1724984189
514,coyhaique,-45.5752,-72.0662,0.6100000000000136,98,72,1.41,CL,1724983988
515,las cruces,32.3123,-106.7783,30.860000000000014,33,0,4.12,US,1724984191
516,quellon,-43.1167,-73.6167,6.0400000000000205,78,5,2.94,CL,1724984193
517,gamay,12.3854,125.2979,32.879999999999995,57,100,1.45,PH,1724984195
518,pontianak,-0.0333,109.3333,28.99000000000001,89,40,2.06,ID,1724984196
519,trincomalee,8.5711,81.2335,27.260000000000048,79,100,9.42,LK,1724984198
520,masterton,-40.9597,175.6575,13.53000000000003,63,5,7.16,NZ,1724984200
521,serrinha,-11.6642,-39.0075,18.680000000000007,95,82,3.22,BR,1724984201
522,ponta delgada,37.7333,-25.6667,22.400000000000034,73,40,1.03,PT,1724984202
523,rikaze,29.25,88.8833,14.550000000000011,44,5,1.56,CN,1724984203
524,severo-yeniseyskiy,60.3725,93.0408,13.0,84,100,2.72,RU,1724984204
525,kpandae,8.4689,-0.0113,22.920000000000016,88,100,2.04,GH,1724984275
526,terenos,-20.4422,-54.8603,27.840000000000032,32,0,4.12,BR,1724984276
527,chimoio,-19.1164,33.4833,18.25,89,100,3.16,MZ,1724984278
528,amalapuram,16.5833,82.0167,22.950000000000045,98,100,2.53,IN,1724984279
529,paradip garh,20.3167,86.6167,28.840000000000032,79,12,6.37,IN,1724984280
530,chernyshevsk,52.5243,117.0174,19.340000000000032,34,0,4.55,RU,1724984282
531,geneina,13.45,22.45,21.710000000000036,91,95,2.14,SD,1724984283
532,ungsang-nodongjagu,42.3578,130.4622,22.010000000000048,69,78,2.75,KP,1724984284
533,kankan,10.3854,-9.3057,21.640000000000043,98,79,2.69,GN,1724984285
534,santa marta,11.2408,-74.199,31.05000000000001,66,38,1.34,CO,1724984240
535,kununurra,-15.7667,128.7333,31.99000000000001,45,98,2.57,AU,1724984278
536,foca,38.6703,26.7566,24.650000000000034,72,0,2.69,TR,1724984288
537,selkirk,50.1436,-96.8845,15.660000000000025,67,28,1.34,CA,1724984290
538,ponoka,52.6768,-113.5815,17.710000000000036,60,11,3.35,CA,1724984291
539,kamyzyak,46.11,48.0736,17.99000000000001,77,0,4.0,RU,1724984292
540,port macquarie,-31.4333,152.9167,27.260000000000048,35,0,1.34,AU,1724984293
541,polkowice,51.5039,16.0726,20.700000000000045,74,88,2.19,PL,1724984294
542,guerrero negro,27.9769,-114.0611,20.74000000000001,77,0,7.93,MX,1724984295
543,puerto cabezas,14.0351,-83.3888,26.57000000000005,89,100,2.71,NI,1724984297
544,riohacha,11.5444,-72.9072,29.29000000000002,71,0,6.32,CO,1724984079
545,labrador city,52.9463,-66.9114,11.770000000000039,58,0,4.92,CA,1724984299
546,chernyshevskiy,63.0128,112.4714,11.810000000000002,69,100,1.59,RU,1724984300
547,nguigmi,14.2495,13.1092,24.02000000000004,85,100,4.53,NE,1724984302
548,wakema,16.6,95.1833,25.04000000000002,94,100,2.98,MM,1724984303
549,independence,39.0911,-94.4155,29.260000000000048,69,0,3.6,US,1724984080
550,hasaki,35.7333,140.8333,27.260000000000048,85,100,9.13,JP,1724984136
551,port isabel,26.0734,-97.2086,28.02000000000004,83,20,3.09,US,1724984307
552,suizhou,31.7111,113.3631,29.910000000000025,68,1,2.52,CN,1724984308
553,yaren,-0.5472,166.916,28.870000000000005,72,71,7.04,NR,1724984309
554,pariaman,-0.619,100.12,27.03000000000003,77,100,0.17,ID,1724984310
555,pingnan,23.5543,110.3976,30.340000000000032,70,25,1.83,CN,1724984311
556,kerema,-7.9631,145.7785,26.720000000000027,84,100,3.11,PG,1724984312
557,chust,41.0094,71.2287,18.660000000000025,42,0,0.95,UZ,1724984313
558,starozhilovo,54.2254,39.916,15.220000000000027,69,5,3.5,RU,1724984315
559,indiana,40.0003,-86.2503,24.930000000000007,88,0,0.0,US,1724984317
560,ironwood,46.4547,-90.171,20.450000000000045,83,100,6.69,US,1724984318
561,aswan,24.0934,32.907,33.610000000000014,29,38,3.09,EG,1724984319
562,mahina,-17.5065,-149.489,26.870000000000005,78,20,6.17,PF,1724984320
563,carsamba,41.1989,36.7219,21.860000000000014,94,75,2.06,TR,1724984323
564,diego martin,10.7005,-61.5342,22.879999999999995,86,15,2.91,TT,1724984324
565,shingu,33.7333,135.9833,27.470000000000027,93,100,2.89,JP,1724984325
566,lensk,60.7253,114.9278,11.5,92,100,4.08,RU,1724984326
567,broken hill,-31.95,141.4333,23.760000000000048,34,0,8.48,AU,1724984327
568,buldana,20.5333,76.1833,23.04000000000002,85,78,1.7,IN,1724984328
569,temryuk,45.2722,37.3811,21.03000000000003,69,100,6.56,RU,1724984329
570,cururupu,-1.8283,-44.8683,22.660000000000025,94,3,0.81,BR,1724984330
571,mandali,33.7499,45.5541,30.460000000000036,27,0,3.95,IQ,1724984332
572,kaedi,16.1465,-13.5047,28.600000000000023,74,62,6.54,MR,1724984333
573,dame-marie,18.5667,-74.4167,28.060000000000002,81,5,1.59,HT,1724984334
574,laboulaye,-34.1266,-63.3912,11.800000000000011,63,100,3.55,AR,1724984335
